Number of Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype
34,2005,7,ADOPTION,
1,2005,7,ADOPTION,FRIEND
1,2005,7,ADOPTION,RESCUE GRP
9,2005,7,DIED,
1,2005,7,DIED,ENROUTE
11,2005,7,DIED,IN KENNEL
33,2005,7,EUTH,
20,2005,7,EUTH,BEHAV HIST
22,2005,7,EUTH,BEHAV OBSV
87,2005,7,EUTH,BREED
2,2005,7,EUTH,CONTAG DIS
21,2005,7,EUTH,FERAL
1,2005,7,EUTH,HEARTWORM
86,2005,7,EUTH,MEDICAL
204,2005,7,EUTH,SPACE
128,2005,7,EUTH,TIME
123,2005,7,EUTH,TIME/SPACE
14,2005,7,EUTH,TOO OLD
11,2005,7,EUTH,TOO YOUNG
1,2005,7,LOST EXP,
1,2005,7,MISSING,
2,2005,7,MISSING,IN KENNEL
24,2005,7,RELOCATE,
106,2005,7,RTO,
4,2005,7,TRANSFER,
21,2005,7,TRANSFER,RESCUE GRP
2,2005,7,TRANSFER,SPCA
1,2005,7,TRANSFER,WILDLIFE
40,2005,8,ADOPTION,
1,2005,8,ADOPTION,RESCUE GRP
2,2005,8,DIED,ENROUTE
9,2005,8,DIED,IN KENNEL
10,2005,8,EUTH,BEHAV HIST
35,2005,8,EUTH,BEHAV OBSV
128,2005,8,EUTH,BREED
1,2005,8,EUTH,CONTAG DIS
22,2005,8,EUTH,FERAL
99,2005,8,EUTH,MEDICAL
1,2005,8,EUTH,PREGNANT
10,2005,8,EUTH,REQUESTED
48,2005,8,EUTH,SPACE
122,2005,8,EUTH,TIME
316,2005,8,EUTH,TIME/SPACE
5,2005,8,EUTH,TOO OLD
12,2005,8,EUTH,TOO YOUNG
1,2005,8,LOST EXP,
3,2005,8,MISSING,IN KENNEL
1,2005,8,RELOCATE,
118,2005,8,RTO,
2,2005,8,TRANSFER,
1,2005,8,TRANSFER,AN CONTROL
35,2005,8,TRANSFER,RESCUE GRP
2,2005,8,TRANSFER,SPCA
46,2005,9,ADOPTION,
1,2005,9,DIED,
1,2005,9,DIED,AT VET
5,2005,9,DIED,ENROUTE
12,2005,9,DIED,IN KENNEL
1,2005,9,EUTH,
25,2005,9,EUTH,BEHAV HIST
40,2005,9,EUTH,BEHAV OBSV
112,2005,9,EUTH,BREED
1,2005,9,EUTH,CONTAG DIS
179,2005,9,EUTH,MEDICAL
15,2005,9,EUTH,REQUESTED
364,2005,9,EUTH,TIME/SPACE
4,2005,9,EUTH,TOO OLD
6,2005,9,EUTH,TOO YOUNG
2,2005,9,RELOCATE,
78,2005,9,RTO,
1,2005,9,TRANSFER,
1,2005,9,TRANSFER,AN CONTROL
4,2005,9,TRANSFER,KHS
52,2005,9,TRANSFER,RESCUE GRP
41,2005,10,ADOPTION,
2,2005,10,DIED,ENROUTE
10,2005,10,DIED,IN KENNEL
1,2005,10,EUTH,
23,2005,10,EUTH,BEHAV HIST
58,2005,10,EUTH,BEHAV OBSV
74,2005,10,EUTH,BREED
108,2005,10,EUTH,MEDICAL
15,2005,10,EUTH,REQUESTED
406,2005,10,EUTH,TIME/SPACE
14,2005,10,EUTH,TOO OLD
4,2005,10,EUTH,TOO YOUNG
4,2005,10,MISSING,IN KENNEL
1,2005,10,RELOCATE,
78,2005,10,RTO,
1,2005,10,TRANSFER,
1,2005,10,TRANSFER,AN CONTROL
1,2005,10,TRANSFER,KHS
27,2005,10,TRANSFER,RESCUE GRP
62,2005,11,ADOPTION,
2,2005,11,DIED,
2,2005,11,DIED,AT VET
5,2005,11,DIED,ENROUTE
16,2005,11,DIED,IN KENNEL
9,2005,11,EUTH,
16,2005,11,EUTH,BEHAV HIST
87,2005,11,EUTH,BEHAV OBSV
96,2005,11,EUTH,BREED
9,2005,11,EUTH,FERAL
1,2005,11,EUTH,HEARTWORM
102,2005,11,EUTH,MEDICAL
13,2005,11,EUTH,REQUESTED
220,2005,11,EUTH,TIME/SPACE
17,2005,11,EUTH,TOO OLD
3,2005,11,EUTH,TOO YOUNG
6,2005,11,MISSING,
2,2005,11,MISSING,IN KENNEL
2,2005,11,RELOCATE,
82,2005,11,RTO,
1,2005,11,TRANSFER,AN CONTROL
59,2005,11,TRANSFER,RESCUE GRP
47,2005,12,ADOPTION,
1,2005,12,DIED,
1,2005,12,DIED,AT VET
1,2005,12,DIED,ENROUTE
14,2005,12,DIED,IN KENNEL
15,2005,12,EUTH,
13,2005,12,EUTH,BEHAV HIST
75,2005,12,EUTH,BEHAV OBSV
177,2005,12,EUTH,BREED
6,2005,12,EUTH,FERAL
139,2005,12,EUTH,MEDICAL
38,2005,12,EUTH,REQUESTED
89,2005,12,EUTH,TIME/SPACE
14,2005,12,EUTH,TOO OLD
4,2005,12,EUTH,TOO YOUNG
9,2005,12,MISSING,
102,2005,12,RTO,
2,2005,12,TRANSFER,
3,2005,12,TRANSFER,KHS
67,2005,12,TRANSFER,RESCUE GRP
1,2005,12,TRANSFER,WILDLIFE
58,2006,1,ADOPTION,
1,2006,1,DIED,AT VET
18,2006,1,DIED,IN KENNEL
8,2006,1,EUTH,
19,2006,1,EUTH,BEHAV HIST
81,2006,1,EUTH,BEHAV OBSV
152,2006,1,EUTH,BREED
15,2006,1,EUTH,FERAL
136,2006,1,EUTH,MEDICAL
30,2006,1,EUTH,REQUESTED
134,2006,1,EUTH,TIME/SPACE
4,2006,1,EUTH,TOO OLD
2,2006,1,EUTH,TOO YOUNG
5,2006,1,MISSING,
4,2006,1,RELOCATE,
85,2006,1,RTO,
4,2006,1,TRANSFER,
5,2006,1,TRANSFER,KHS
105,2006,1,TRANSFER,RESCUE GRP
61,2006,2,ADOPTION,
1,2006,2,ADOPTION,FRIEND
2,2006,2,DIED,
15,2006,2,DIED,IN KENNEL
26,2006,2,EUTH,
6,2006,2,EUTH,BEHAV HIST
136,2006,2,EUTH,BEHAV OBSV
64,2006,2,EUTH,BREED
10,2006,2,EUTH,FERAL
156,2006,2,EUTH,MEDICAL
29,2006,2,EUTH,REQUESTED
28,2006,2,EUTH,TIME/SPACE
8,2006,2,EUTH,TOO OLD
1,2006,2,EUTH,TOO YOUNG
5,2006,2,MISSING,
19,2006,2,MISSING,IN KENNEL
2,2006,2,RELOCATE,
89,2006,2,RTO,
5,2006,2,TRANSFER,
1,2006,2,TRANSFER,AN CONTROL
1,2006,2,TRANSFER,KHS
89,2006,2,TRANSFER,RESCUE GRP
1,2006,3,,TIME/SPACE
51,2006,3,ADOPTION,
1,2006,3,ADOPTION,FRIEND
4,2006,3,ADOPTION,WALK IN
1,2006,3,DIED,
7,2006,3,DIED,IN KENNEL
1,2006,3,DIED,IN SURGERY
17,2006,3,EUTH,
13,2006,3,EUTH,BEHAV HIST
142,2006,3,EUTH,BEHAV OBSV
35,2006,3,EUTH,BREED
11,2006,3,EUTH,FERAL
141,2006,3,EUTH,MEDICAL
19,2006,3,EUTH,REQUESTED
128,2006,3,EUTH,TIME/SPACE
9,2006,3,EUTH,TOO OLD
1,2006,3,MISSING,
16,2006,3,MISSING,IN KENNEL
2,2006,3,RELOCATE,
105,2006,3,RTO,
7,2006,3,TRANSFER,
55,2006,3,TRANSFER,KHS
111,2006,3,TRANSFER,RESCUE GRP
67,2006,4,ADOPTION,
1,2006,4,ADOPTION,PRV ADOPT
2,2006,4,ADOPTION,WALK IN
4,2006,4,DIED,
1,2006,4,DIED,IN FOSTER
10,2006,4,DIED,IN KENNEL
5,2006,4,DISPOSAL,
1,2006,4,DISPOSAL,CREM-PRIV
15,2006,4,EUTH,
11,2006,4,EUTH,BEHAV HIST
146,2006,4,EUTH,BEHAV OBSV
28,2006,4,EUTH,BREED
1,2006,4,EUTH,CONTAG DIS
11,2006,4,EUTH,FERAL
156,2006,4,EUTH,MEDICAL
39,2006,4,EUTH,REQUESTED
163,2006,4,EUTH,TIME/SPACE
1,2006,4,EUTH,TOO OLD
6,2006,4,EUTH,TOO YOUNG
1,2006,4,MISSING,
3,2006,4,MISSING,IN KENNEL
11,2006,4,RELOCATE,
109,2006,4,RTO,
8,2006,4,TRANSFER,
89,2006,4,TRANSFER,RESCUE GRP
1,2006,5,,
59,2006,5,ADOPTION,
4,2006,5,DIED,
27,2006,5,DIED,IN KENNEL
1,2006,5,DIED,IN SURGERY
1,2006,5,DISPOSAL,
60,2006,5,EUTH,
15,2006,5,EUTH,BEHAV HIST
94,2006,5,EUTH,BEHAV OBSV
25,2006,5,EUTH,BREED
30,2006,5,EUTH,FERAL
225,2006,5,EUTH,MEDICAL
35,2006,5,EUTH,REQUESTED
258,2006,5,EUTH,TIME/SPACE
10,2006,5,EUTH,TOO OLD
19,2006,5,EUTH,TOO YOUNG
156,2006,5,MISSING,
17,2006,5,MISSING,IN KENNEL
5,2006,5,RELOCATE,
111,2006,5,RTO,
2,2006,5,TRANSFER,
2,2006,5,TRANSFER,AN CONTROL
149,2006,5,TRANSFER,RESCUE GRP
72,2006,6,ADOPTION,
1,2006,6,DIED,
1,2006,6,DIED,ENROUTE
22,2006,6,DIED,IN KENNEL
4,2006,6,DISPOSAL,
98,2006,6,EUTH,
9,2006,6,EUTH,BEHAV HIST
101,2006,6,EUTH,BEHAV OBSV
1,2006,6,EUTH,BREED
2,2006,6,EUTH,CONTAG DIS
41,2006,6,EUTH,FERAL
318,2006,6,EUTH,MEDICAL
60,2006,6,EUTH,REQUESTED
360,2006,6,EUTH,TIME/SPACE
5,2006,6,EUTH,TOO OLD
17,2006,6,EUTH,TOO YOUNG
95,2006,6,MISSING,
1,2006,6,MISSING,IN FOSTER
5,2006,6,MISSING,IN KENNEL
6,2006,6,RELOCATE,
113,2006,6,RTO,
3,2006,6,TRANSFER,
65,2006,6,TRANSFER,RESCUE GRP
68,2006,7,ADOPTION,
1,2006,7,ADOPTION,REFERRAL
1,2006,7,DIED,
1,2006,7,DIED,ENROUTE
35,2006,7,DIED,IN KENNEL
6,2006,7,DISPOSAL,
49,2006,7,EUTH,
3,2006,7,EUTH,BEHAV HIST
70,2006,7,EUTH,BEHAV OBSV
2,2006,7,EUTH,CONTAG DIS
22,2006,7,EUTH,FERAL
1,2006,7,EUTH,HEARTWORM
240,2006,7,EUTH,MEDICAL
46,2006,7,EUTH,REQUESTED
610,2006,7,EUTH,TIME/SPACE
3,2006,7,EUTH,TOO OLD
6,2006,7,EUTH,TOO YOUNG
120,2006,7,MISSING,
39,2006,7,MISSING,IN KENNEL
3,2006,7,RELEASED,
10,2006,7,RELOCATE,
111,2006,7,RTO,
14,2006,7,TRANSFER,
95,2006,7,TRANSFER,RESCUE GRP
2,2006,8,,
70,2006,8,ADOPTION,
4,2006,8,ADOPTION,WALK IN
1,2006,8,DIED,
1,2006,8,DIED,ENROUTE
28,2006,8,DIED,IN KENNEL
2,2006,8,DISPOSAL,
40,2006,8,EUTH,
15,2006,8,EUTH,BEHAV HIST
60,2006,8,EUTH,BEHAV OBSV
1,2006,8,EUTH,BREED
1,2006,8,EUTH,CONTAG DIS
31,2006,8,EUTH,FERAL
163,2006,8,EUTH,MEDICAL
43,2006,8,EUTH,REQUESTED
656,2006,8,EUTH,TIME/SPACE
6,2006,8,EUTH,TOO OLD
18,2006,8,EUTH,TOO YOUNG
72,2006,8,MISSING,
20,2006,8,MISSING,IN KENNEL
15,2006,8,RELEASED,
3,2006,8,RELEASED,IN SURGERY
3,2006,8,RELOCATE,
112,2006,8,RTO,
1,2006,8,RTO,IN FIELD
9,2006,8,TRANSFER,
47,2006,8,TRANSFER,RESCUE GRP
87,2006,9,ADOPTION,
2,2006,9,DIED,
22,2006,9,DIED,IN KENNEL
1,2006,9,DIED,IN SURGERY
4,2006,9,DISPOSAL,
102,2006,9,EUTH,
8,2006,9,EUTH,BEHAV HIST
46,2006,9,EUTH,BEHAV OBSV
19,2006,9,EUTH,FERAL
1,2006,9,EUTH,HEARTWORM
201,2006,9,EUTH,MEDICAL
1,2006,9,EUTH,PREGNANT
35,2006,9,EUTH,REQUESTED
523,2006,9,EUTH,TIME/SPACE
2,2006,9,EUTH,TOO OLD
4,2006,9,EUTH,TOO YOUNG
126,2006,9,MISSING,
5,2006,9,MISSING,IN KENNEL
24,2006,9,RELEASED,
103,2006,9,RTO,
17,2006,9,TRANSFER,
30,2006,9,TRANSFER,RESCUE GRP
93,2006,10,ADOPTION,
1,2006,10,DIED,
1,2006,10,DIED,IN FOSTER
43,2006,10,DIED,IN KENNEL
1,2006,10,DISPOSAL,
2,2006,10,DISPOSAL,DEAD ARRIV
10,2006,10,ET PROCESS,
20,2006,10,EUTH,
6,2006,10,EUTH,BEHAV HIST
94,2006,10,EUTH,BEHAV OBSV
2,2006,10,EUTH,CONTAG DIS
50,2006,10,EUTH,FERAL
275,2006,10,EUTH,MEDICAL
34,2006,10,EUTH,REQUESTED
442,2006,10,EUTH,TIME/SPACE
5,2006,10,EUTH,TOO OLD
1,2006,10,EUTH,TOO YOUNG
18,2006,10,MISSING,
1,2006,10,MISSING,ENROUTE
6,2006,10,MISSING,IN KENNEL
24,2006,10,RELEASED,
3,2006,10,RELEASED,IN SURGERY
95,2006,10,RTO,
1,2006,10,RTO,IN FIELD
17,2006,10,TRANSFER,
52,2006,10,TRANSFER,RESCUE GRP
86,2006,11,ADOPTION,
1,2006,11,ADOPTION,FRIEND
3,2006,11,DIED,ENROUTE
1,2006,11,DIED,IN FOSTER
20,2006,11,DIED,IN KENNEL
1,2006,11,DIED,IN SURGERY
2,2006,11,EUTH,
11,2006,11,EUTH,BEHAV HIST
183,2006,11,EUTH,BEHAV OBSV
1,2006,11,EUTH,BREED
5,2006,11,EUTH,CONTAG DIS
48,2006,11,EUTH,FERAL
331,2006,11,EUTH,MEDICAL
45,2006,11,EUTH,REQUESTED
166,2006,11,EUTH,TIME/SPACE
9,2006,11,EUTH,TOO OLD
4,2006,11,EUTH,TOO YOUNG
52,2006,11,MISSING,IN KENNEL
27,2006,11,RELEASED,
2,2006,11,RELEASED,IN SURGERY
1,2006,11,RELEASED,MEDICAL
1,2006,11,RELOCATE,
76,2006,11,RTO,
6,2006,11,RTO,IN FIELD
60,2006,11,TRANSFER,RESCUE GRP
1,2006,11,TRANSFER,WILDLIFE
132,2006,12,ADOPTION,
5,2006,12,DIED,ENROUTE
8,2006,12,DIED,IN KENNEL
1,2006,12,DIED,IN SURGERY
9,2006,12,EUTH,
14,2006,12,EUTH,BEHAV HIST
177,2006,12,EUTH,BEHAV OBSV
3,2006,12,EUTH,BREED
17,2006,12,EUTH,FERAL
304,2006,12,EUTH,MEDICAL
29,2006,12,EUTH,REQUESTED
80,2006,12,EUTH,TIME/SPACE
14,2006,12,EUTH,TOO OLD
22,2006,12,MISSING,IN KENNEL
40,2006,12,RELEASED,
12,2006,12,RELEASED,IN SURGERY
1,2006,12,RELOCATE,
92,2006,12,RTO,
6,2006,12,RTO,IN FIELD
5,2006,12,TRANSFER,
2,2006,12,TRANSFER,AN CONTROL
64,2006,12,TRANSFER,RESCUE GRP
70,2007,1,ADOPTION,
1,2007,1,ADOPTION,TV WLKY
4,2007,1,DIED,ENROUTE
11,2007,1,DIED,IN KENNEL
1,2007,1,DIED,IN SURGERY
4,2007,1,EUTH,
15,2007,1,EUTH,BEHAV HIST
178,2007,1,EUTH,BEHAV OBSV
2,2007,1,EUTH,BREED
1,2007,1,EUTH,CONTAG DIS
28,2007,1,EUTH,FERAL
1,2007,1,EUTH,HEARTWORM
298,2007,1,EUTH,MEDICAL
55,2007,1,EUTH,REQUESTED
89,2007,1,EUTH,TIME/SPACE
4,2007,1,EUTH,TOO OLD
8,2007,1,EUTH,TOO YOUNG
22,2007,1,RELEASED,
5,2007,1,RELEASED,IN SURGERY
83,2007,1,RTO,
1,2007,1,RTO,IN FIELD
1,2007,1,TRANSFER,
77,2007,1,TRANSFER,RESCUE GRP
53,2007,2,ADOPTION,
1,2007,2,ADOPTION,PRV ADOPT
1,2007,2,DIED,
1,2007,2,DIED,ENROUTE
10,2007,2,DIED,IN KENNEL
1,2007,2,DIED,IN SURGERY
1,2007,2,DISPOSAL,DEAD ARRIV
30,2007,2,EUTH,BEHAV HIST
167,2007,2,EUTH,BEHAV OBSV
7,2007,2,EUTH,CONTAG DIS
28,2007,2,EUTH,FERAL
254,2007,2,EUTH,MEDICAL
66,2007,2,EUTH,REQUESTED
57,2007,2,EUTH,TIME/SPACE
3,2007,2,EUTH,TOO OLD
1,2007,2,EUTH,TOO YOUNG
1,2007,2,MISSING,IN KENNEL
46,2007,2,RELEASED,
11,2007,2,RELEASED,IN SURGERY
1,2007,2,RELOCATE,
80,2007,2,RTO,
2,2007,2,TRANSFER,
73,2007,2,TRANSFER,RESCUE GRP
64,2007,3,ADOPTION,
1,2007,3,ADOPTION,FRIEND
1,2007,3,ADOPTION,PRV ADOPT
1,2007,3,DIED,ENROUTE
6,2007,3,DIED,IN KENNEL
2,2007,3,DISPOSAL,DEAD ARRIV
2,2007,3,ET PROCESS,
15,2007,3,EUTH,
29,2007,3,EUTH,BEHAV HIST
154,2007,3,EUTH,BEHAV OBSV
2,2007,3,EUTH,BREED
2,2007,3,EUTH,CONTAG DIS
27,2007,3,EUTH,FERAL
349,2007,3,EUTH,MEDICAL
35,2007,3,EUTH,REQUESTED
113,2007,3,EUTH,TIME/SPACE
10,2007,3,EUTH,TOO OLD
25,2007,3,EUTH,TOO YOUNG
1,2007,3,MISSING,
1,2007,3,MISSING,IN KENNEL
50,2007,3,RELEASED,
13,2007,3,RELEASED,IN SURGERY
12,2007,3,RELEASED,MEDICAL
2,2007,3,RELOCATE,
99,2007,3,RTO,
6,2007,3,RTO,IN FIELD
7,2007,3,TRANSFER,KHS
62,2007,3,TRANSFER,RESCUE GRP
84,2007,4,ADOPTION,
3,2007,4,ADOPTION,WEB PF
2,2007,4,DIED,
1,2007,4,DIED,IN KENNEL
1,2007,4,DIED,IN SURGERY
1,2007,4,ET PROCESS,
18,2007,4,EUTH,
25,2007,4,EUTH,BEHAV HIST
105,2007,4,EUTH,BEHAV OBSV
10,2007,4,EUTH,BREED
21,2007,4,EUTH,CONTAG DIS
19,2007,4,EUTH,FERAL
1,2007,4,EUTH,HEARTWORM
215,2007,4,EUTH,MEDICAL
51,2007,4,EUTH,REQUESTED
176,2007,4,EUTH,TIME/SPACE
4,2007,4,EUTH,TOO OLD
49,2007,4,EUTH,TOO YOUNG
3,2007,4,MISSING,
56,2007,4,RELEASED,
22,2007,4,RELEASED,IN SURGERY
7,2007,4,RELEASED,MEDICAL
1,2007,4,RELOCATE,
98,2007,4,RTO,
4,2007,4,RTO,IN FIELD
3,2007,4,TRANSFER,KHS
76,2007,4,TRANSFER,RESCUE GRP
81,2007,5,ADOPTION,
1,2007,5,ADOPTION,FRIEND
5,2007,5,ADOPTION,WALK IN
12,2007,5,ADOPTION,WEB PF
1,2007,5,DIED,
4,2007,5,DIED,ENROUTE
2,2007,5,DIED,IN FOSTER
13,2007,5,DIED,IN KENNEL
1,2007,5,ET PROCESS,
8,2007,5,EUTH,
40,2007,5,EUTH,BEHAV HIST
181,2007,5,EUTH,BEHAV OBSV
4,2007,5,EUTH,BREED
162,2007,5,EUTH,CONTAG DIS
24,2007,5,EUTH,FERAL
1,2007,5,EUTH,HEARTWORM
256,2007,5,EUTH,MEDICAL
2,2007,5,EUTH,PREGNANT
49,2007,5,EUTH,REQUESTED
168,2007,5,EUTH,TIME/SPACE
20,2007,5,EUTH,TOO OLD
54,2007,5,EUTH,TOO YOUNG
1,2007,5,MISSING,IN FOSTER
6,2007,5,MISSING,IN KENNEL
5,2007,5,NO SHOW,
44,2007,5,RELEASED,
39,2007,5,RELEASED,IN SURGERY
1,2007,5,RELEASED,MEDICAL
1,2007,5,RELOCATE,
81,2007,5,RTO,
1,2007,5,RTO,IN FIELD
1,2007,5,TRANSFER,KHS
52,2007,5,TRANSFER,RESCUE GRP
4,2007,5,TRANSFER,WILDLIFE
109,2007,6,ADOPTION,
3,2007,6,ADOPTION,FRIEND
1,2007,6,ADOPTION,REFERRAL
3,2007,6,ADOPTION,WALK IN
22,2007,6,ADOPTION,WEB PF
1,2007,6,DIED,AT VET
2,2007,6,DIED,ENROUTE
11,2007,6,DIED,IN KENNEL
1,2007,6,DIED,IN SURGERY
4,2007,6,EUTH,
24,2007,6,EUTH,BEHAV HIST
172,2007,6,EUTH,BEHAV OBSV
23,2007,6,EUTH,BREED
115,2007,6,EUTH,CONTAG DIS
17,2007,6,EUTH,FERAL
250,2007,6,EUTH,MEDICAL
5,2007,6,EUTH,PREGNANT
101,2007,6,EUTH,REQUESTED
350,2007,6,EUTH,TIME/SPACE
16,2007,6,EUTH,TOO OLD
27,2007,6,EUTH,TOO YOUNG
2,2007,6,MISSING,
4,2007,6,MISSING,IN KENNEL
15,2007,6,NO SHOW,
73,2007,6,RELEASED,
44,2007,6,RELEASED,IN SURGERY
94,2007,6,RTO,
7,2007,6,RTO,IN FIELD
1,2007,6,TRANSFER,
9,2007,6,TRANSFER,KHS
49,2007,6,TRANSFER,RESCUE GRP
1,2007,7,,
85,2007,7,ADOPTION,
7,2007,7,ADOPTION,FRIEND
1,2007,7,ADOPTION,PRV ADOPT
3,2007,7,ADOPTION,REFERRAL
3,2007,7,ADOPTION,WALK IN
23,2007,7,ADOPTION,WEB PF
3,2007,7,DIED,ENROUTE
6,2007,7,DIED,IN FOSTER
15,2007,7,DIED,IN KENNEL
1,2007,7,DIED,IN SURGERY
1,2007,7,DISPOSAL,DEAD ARRIV
12,2007,7,ET PROCESS,
4,2007,7,EUTH,
20,2007,7,EUTH,BEHAV HIST
172,2007,7,EUTH,BEHAV OBSV
60,2007,7,EUTH,BREED
130,2007,7,EUTH,CONTAG DIS
1,2007,7,EUTH,FELV
43,2007,7,EUTH,FERAL
151,2007,7,EUTH,MEDICAL
4,2007,7,EUTH,PREGNANT
89,2007,7,EUTH,REQUESTED
390,2007,7,EUTH,TIME/SPACE
12,2007,7,EUTH,TOO OLD
25,2007,7,EUTH,TOO YOUNG
7,2007,7,MISSING,IN KENNEL
1,2007,7,MISSING,STOLEN
19,2007,7,NO SHOW,
62,2007,7,RELEASED,
31,2007,7,RELEASED,IN SURGERY
2,2007,7,RELEASED,MEDICAL
96,2007,7,RTO,
4,2007,7,RTO,IN FIELD
1,2007,7,TRANSFER,
7,2007,7,TRANSFER,KHS
67,2007,7,TRANSFER,RESCUE GRP
16,2007,8,,
107,2007,8,ADOPTION,
1,2007,8,ADOPTION,FRIEND
1,2007,8,ADOPTION,TV WLKY
11,2007,8,ADOPTION,WALK IN
18,2007,8,ADOPTION,WEB PF
1,2007,8,DIED,
1,2007,8,DIED,AT VET
5,2007,8,DIED,ENROUTE
1,2007,8,DIED,IN FOSTER
7,2007,8,DIED,IN KENNEL
2,2007,8,DISPOSAL,
13,2007,8,ET PROCESS,
43,2007,8,EUTH,
33,2007,8,EUTH,BEHAV HIST
151,2007,8,EUTH,BEHAV OBSV
84,2007,8,EUTH,BREED
67,2007,8,EUTH,CONTAG DIS
19,2007,8,EUTH,FERAL
1,2007,8,EUTH,HEARTWORM
125,2007,8,EUTH,MEDICAL
2,2007,8,EUTH,PREGNANT
105,2007,8,EUTH,REQUESTED
319,2007,8,EUTH,TIME/SPACE
26,2007,8,EUTH,TOO OLD
83,2007,8,EUTH,TOO YOUNG
13,2007,8,MISSING,
2,2007,8,NO SHOW,
87,2007,8,RELEASED,
13,2007,8,RELEASED,IN SURGERY
1,2007,8,RELEASED,MEDICAL
78,2007,8,RTO,
12,2007,8,RTO,IN FIELD
4,2007,8,TRANSFER,
21,2007,8,TRANSFER,KHS
60,2007,8,TRANSFER,RESCUE GRP
1,2007,9,,
97,2007,9,ADOPTION,
3,2007,9,ADOPTION,REFERRAL
3,2007,9,ADOPTION,TV WLKY
25,2007,9,ADOPTION,WALK IN
16,2007,9,ADOPTION,WEB PF
2,2007,9,DIED,
5,2007,9,DIED,ENROUTE
9,2007,9,DIED,IN KENNEL
2,2007,9,ET PROCESS,
8,2007,9,EUTH,
25,2007,9,EUTH,BEHAV HIST
